Time,Temperature,Pressure,Class
2010-01-01 00:00:00,345.21861556642716,105.32649501008724,1
2010-01-01 01:00:00,345.4341824676607,105.30859426398456,1
2010-01-01 02:00:00,345.8190160935498,105.48238175545703,1
2010-01-01 03:00:00,344.7750605183882,105.00503310027426,1
2010-01-01 04:00:00,346.546164240471,105.47003569377165,1
2010-01-01 05:00:00,345.15315297038336,105.06139712630082,1
2010-01-01 06:00:00,344.39027754981925,105.05322402631676,1
2010-01-01 07:00:00,347.96851927710975,105.58485107452876,1
2010-01-01 08:00:00,347.79671507130035,105.39337368263512,1
2010-01-01 09:00:00,378.51192220096243,108.70675864202083,1
2010-01-01 10:00:00,348.14135725209826,105.57330558926557,1
2010-01-01 11:00:00,349.17818928426686,105.67549182190056,1
2010-01-01 12:00:00,323.5854993855105,102.17094769739032,0
2010-01-01 13:00:00,344.72009892173963,105.06283380737113,1
2010-01-01 14:00:00,349.8009161309964,105.87379957553873,1
2010-01-01 15:00:00,344.1904850334326,104.95617767929951,1
2010-01-01 16:00:00,351.1013710447435,105.8826048977344,1
2010-01-01 17:00:00,344.79299973530084,105.2464722514481,1
2010-01-01 18:00:00,344.1529830836762,105.10068242019723,1
2010-01-01 19:00:00,351.8665251308477,105.92605699205176,1
2010-01-01 20:00:00,351.938414207551,105.89758823521274,1
2010-01-01 21:00:00,352.4213599301412,105.98674618878871,1
2010-01-01 22:00:00,343.9431706655863,105.00400980215258,1
2010-01-01 23:00:00,344.07582878948205,104.99959329079776,1
2010-01-02 00:00:00,344.1459736042812,105.02013620601495,1
2010-01-02 01:00:00,354.1854480344315,106.46447291938865,1
2010-01-02 02:00:00,343.6684993101265,104.87056275115387,1
2010-01-02 03:00:00,354.28863841499987,106.2815546857955,1
2010-01-02 04:00:00,344.38164182162114,105.01516202651251,1
2010-01-02 05:00:00,340.0387688740791,104.32755894912825,1
2010-01-02 06:00:00,343.8230602895093,104.9726594456257,1
2010-01-02 07:00:00,344.1178659615316,105.07240723570895,1
2010-01-02 08:00:00,356.56575438883334,106.61736608747323,1
2010-01-02 09:00:00,356.11491121260286,106.59383087753554,1
2010-01-02 10:00:00,343.9555113563348,105.104259577267,1
2010-01-02 11:00:00,357.27571771439995,106.83630950680713,1
2010-01-02 12:00:00,357.728718752398,106.57382267393841,1
2010-01-02 13:00:00,343.1046658903967,105.0235036309524,1
2010-01-02 14:00:00,343.0338738023405,104.909297080188,1
2010-01-02 15:00:00,389.02703398207507,109.6740801981663,1
2010-01-02 16:00:00,358.7398934213178,106.94862241979331,1
2010-01-02 17:00:00,362.4740778745468,107.21958475617528,1
2010-01-02 18:00:00,360.00791242661234,107.19419455941943,1
2010-01-02 19:00:00,359.9939342367254,106.91374199914554,1
2010-01-02 20:00:00,360.0560375901409,106.86989030357431,1
2010-01-02 21:00:00,335.80747147742335,103.88602377321027,1
2010-01-02 22:00:00,360.99011060274654,107.09092197051217,1
2010-01-02 23:00:00,342.6761072484775,104.7752272744098,1
