Time,Temperature,Pressure
2010-01-01 00:00:00,299.81290006310127,99.8352113587611
2010-01-01 01:00:00,300.1246594676858,100.07231844206196
2010-01-01 02:00:00,300.24518833775403,100.05205025193511
2010-01-01 03:00:00,300.41366033112797,99.9699454443118
2010-01-01 04:00:00,300.35924552339804,100.0564346736503
2010-01-01 05:00:00,300.4033661960801,99.94806769367217
2010-01-01 06:00:00,300.56672720898683,99.92572777145408
2010-01-01 07:00:00,300.60177461707264,99.98001799594596
2010-01-01 08:00:00,300.664557805925,99.9369908037126
2010-01-01 09:00:00,300.9554990297597,100.09447332033226
2010-01-01 10:00:00,300.91709337960384,100.2174868633149
2010-01-01 11:00:00,301.19216609582855,99.98626365044358
2010-01-01 12:00:00,300.8729836265442,100.05241300360886
2010-01-01 13:00:00,301.2970472717125,100.005282282181
2010-01-01 14:00:00,301.2803365317064,100.13996810252229
2010-01-01 15:00:00,301.4892918335141,100.01385879627104
2010-01-01 16:00:00,301.4092036366573,99.91638988743875
2010-01-01 17:00:00,301.4805758003809,100.0224474914135
2010-01-01 18:00:00,301.74781142709264,100.17379919494822
2010-01-01 19:00:00,301.99095590071664,100.10123349466829
2010-01-01 20:00:00,301.8973073705989,99.93565492256259
2010-01-01 21:00:00,302.02269015680434,100.08128823065255
2010-01-01 22:00:00,302.04840137952544,100.13562156333263
2010-01-01 23:00:00,302.08491878321007,100.05188731352922
2010-01-02 00:00:00,302.24419202382495,100.03988718934966
2010-01-02 01:00:00,302.27605448324954,99.98506008341869
2010-01-02 02:00:00,302.30070055481735,99.90169227257752
2010-01-02 03:00:00,302.6134944889109,100.1169539759412
2010-01-02 04:00:00,302.6193419243604,100.18938888036311
2010-01-02 05:00:00,302.5733699724897,100.17585183598668
2010-01-02 06:00:00,302.4927333059691,100.09480560672581
2010-01-02 07:00:00,302.66932360185245,100.3529823657143
2010-01-02 08:00:00,302.9257877044497,100.22662508590558
2010-01-02 09:00:00,302.9950969192964,100.14136827232271
2010-01-02 10:00:00,303.24350653252225,100.30369049472647
2010-01-02 11:00:00,303.1133968423678,100.09156774630266
2010-01-02 12:00:00,303.2916819508914,100.1274794842126
2010-01-02 13:00:00,303.3186668614669,100.15680387218879
2010-01-02 14:00:00,303.33275904728845,100.07002853215735
2010-01-02 15:00:00,303.73156373353976,100.02756074852873
2010-01-02 16:00:00,303.626647873236,100.38223853184566
2010-01-02 17:00:00,303.80384467943475,100.21986053230995
2010-01-02 18:00:00,303.81898181344076,100.09630938654213
2010-01-02 19:00:00,303.9099313384643,100.066646932558
2010-01-02 20:00:00,304.0846100045498,100.23867328510981
2010-01-02 21:00:00,304.2114796173736,100.26836543125893
2010-01-02 22:00:00,304.2389384617529,100.17145707870372
2010-01-02 23:00:00,304.3184119881823,100.19923612982278
2010-01-03 00:00:00,304.36768919939084,100.2927375313576
2010-01-03 01:00:00,304.4976481462877,100.15962616969536
2010-01-03 02:00:00,304.5835988485634,100.32750026052564
2010-01-03 03:00:00,304.7045735634487,100.38406274809877
2010-01-03 04:00:00,304.7750758538291,100.25972320518237
2010-01-03 05:00:00,304.82217324913375,100.39131194260771
2010-01-03 06:00:00,304.83359704842707,100.28926465659077
2010-01-03 07:00:00,304.987041272833,100.31891045601826
2010-01-03 08:00:00,305.32688033293675,100.08941434750139
2010-01-03 09:00:00,305.30250033062646,100.3065350476835
2010-01-03 10:00:00,305.29355580022906,100.21719863442435
2010-01-03 11:00:00,305.30755037886564,100.28159797519356
2010-01-03 12:00:00,305.47458472195325,100.31870764987382
2010-01-03 13:00:00,305.5322493896982,100.24188122373452
2010-01-03 14:00:00,305.9174457663973,100.36199979209277
2010-01-03 15:00:00,305.7358052544561,100.37062836096105
2010-01-03 16:00:00,305.7284012703532,100.34806602427919
2010-01-03 17:00:00,305.9177252072869,100.12092166852798
2010-01-03 18:00:00,305.95460877231204,100.20189285310529
2010-01-03 19:00:00,306.005179691515,100.2496926128913
2010-01-03 20:00:00,306.26424315231304,100.3570976800876
2010-01-03 21:00:00,306.33356927586686,100.45622101437255
2010-01-03 22:00:00,306.43501120599404,100.3588708046675
2010-01-03 23:00:00,306.5186594959327,100.20954153349368
2010-01-04 00:00:00,306.4256534718548,100.52222360416134
2010-01-04 01:00:00,306.59009226881886,100.48791636281503
2010-01-04 02:00:00,306.8291115339942,100.26152575346215
2010-01-04 03:00:00,306.86400309677947,100.2130836874888
2010-01-04 04:00:00,306.84365710713826,100.27524419574966
2010-01-04 05:00:00,306.94889633062434,100.25431223581191
2010-01-04 06:00:00,307.1971103408026,100.53013239370742
